Ticker,,Expiration Date,,,PX_BID,1692.01,,,,,,,,,
SPX US 10/19/13 C1530,,164.5,167.2,1530,Call,17,,,SPX US 10/19/13 P1530,,0.7,1.5,1530,Put,17
SPX US 10/19/13 C1535,,159.3,162.1,1535,Call,17,,,SPX US 10/19/13 P1535,,0.75,1.55,1535,Put,17
SPX US 10/19/13 C1540,,154.4,157.1,1540,Call,17,,,SPX US 10/19/13 P1540,,0.85,1.7,1540,Put,17
SPX US 10/19/13 C1545,,149.5,152.2,1545,Call,17,,,SPX US 10/19/13 P1545,,0.95,1.75,1545,Put,17
SPX US 10/19/13 C1550,,144.6,147.3,1550,Call,17,,,SPX US 10/19/13 P1550,,1.35,1.85,1550,Put,17
SPX US 10/19/13 C1555,,139.7,142.4,1555,Call,17,,,SPX US 10/19/13 P1555,,1.15,1.95,1555,Put,17
SPX US 10/19/13 C1560,,134.8,137.5,1560,Call,17,,,SPX US 10/19/13 P1560,,1.25,2.1,1560,Put,17
SPX US 10/19/13 C1565,,129.9,132.9,1565,Call,17,,,SPX US 10/19/13 P1565,,1.35,2.2,1565,Put,17
SPX US 10/19/13 C1570,,125,127.8,1570,Call,17,,,SPX US 10/19/13 P1570,,1.45,2.35,1570,Put,17
SPX US 10/19/13 C1575,,120.3,123.1,1575,Call,17,,,SPX US 10/19/13 P1575,,1.6,2.15,1575,Put,17
SPX US 10/19/13 C1580,,115.3,118.1,1580,Call,17,,,SPX US 10/19/13 P1580,,1.7,2.65,1580,Put,17
SPX US 10/19/13 C1585,,110.5,113.5,1585,Call,17,,,SPX US 10/19/13 P1585,,1.95,2.8,1585,Put,17
SPX US 10/19/13 C1590,,105.7,108.7,1590,Call,17,,,SPX US 10/19/13 P1590,,2.1,3.1,1590,Put,17
SPX US 10/19/13 C1595,,100.9,103.7,1595,Call,17,,,SPX US 10/19/13 P1595,,2.3,3.3,1595,Put,17
SPX US 10/19/13 C1600,,96.3,99.1,1600,Call,17,,,SPX US 10/19/13 P1600,,2.6,3.6,1600,Put,17
SPX US 10/19/13 C1605,,91.4,94.4,1605,Call,17,,,SPX US 10/19/13 P1605,,2.8,3.8,1605,Put,17
SPX US 10/19/13 C1610,,86.7,89.7,1610,Call,17,,,SPX US 10/19/13 P1610,,3.1,4.1,1610,Put,17
SPX US 10/19/13 C1615,,82,84.8,1615,Call,17,,,SPX US 10/19/13 P1615,,3.4,4.4,1615,Put,17
SPX US 10/19/13 C1620,,77.6,80.3,1620,Call,17,,,SPX US 10/19/13 P1620,,3.8,4.8,1620,Put,17
SPX US 10/19/13 C1625,,73,75.7,1625,Call,17,,,SPX US 10/19/13 P1625,,4.4,4.8,1625,Put,17
SPX US 10/19/13 C1630,,68.3,71,1630,Call,17,,,SPX US 10/19/13 P1630,,4.7,5.8,1630,Put,17
SPX US 10/19/13 C1635,,63.8,66.5,1635,Call,17,,,SPX US 10/19/13 P1635,,5.2,6.3,1635,Put,17
SPX US 10/19/13 C1640,,59.6,62.2,1640,Call,17,,,SPX US 10/19/13 P1640,,5.8,6.8,1640,Put,17
SPX US 10/19/13 C1645,,55.1,57.9,1645,Call,17,,,SPX US 10/19/13 P1645,,6.3,7.5,1645,Put,17
SPX US 10/19/13 C1650,,50.9,53.6,1650,Call,17,,,SPX US 10/19/13 P1650,,7,8.1,1650,Put,17
SPX US 10/19/13 C1655,,46.7,49.1,1655,Call,17,,,SPX US 10/19/13 P1655,,7.7,8.9,1655,Put,17
SPX US 10/19/13 C1660,,42.6,45,1660,Call,17,,,SPX US 10/19/13 P1660,,8.6,9.9,1660,Put,17
SPX US 10/19/13 C1665,,38.6,40.9,1665,Call,17,,,SPX US 10/19/13 P1665,,9.6,10.9,1665,Put,17
SPX US 10/19/13 C1670,,34.8,37,1670,Call,17,,,SPX US 10/19/13 P1670,,10.8,12,1670,Put,17
SPX US 10/19/13 C1675,,31.2,33.2,1675,Call,17,,,SPX US 10/19/13 P1675,,12,13.3,1675,Put,17
SPX US 10/19/13 C1680,,27.6,29.4,1680,Call,17,,,SPX US 10/19/13 P1680,,13.3,14.7,1680,Put,17
SPX US 10/19/13 C1685,,24.1,26.1,1685,Call,17,,,SPX US 10/19/13 P1685,,14.8,16.3,1685,Put,17
SPX US 10/19/13 C1690,,21,22.7,1690,Call,17,,,SPX US 10/19/13 P1690,,16.5,18.1,1690,Put,17
SPX US 10/19/13 C1695,,18,19.6,1695,Call,17,,,SPX US 10/19/13 P1695,,18.3,20.1,1695,Put,17
SPX US 10/19/13 C1700,,15.3,16.7,1700,Call,17,,,SPX US 10/19/13 P1700,,20.4,22.3,1700,Put,17
SPX US 10/19/13 C1705,,12.8,14.1,1705,Call,17,,,SPX US 10/19/13 P1705,,22.9,24.7,1705,Put,17
SPX US 10/19/13 C1710,,10.5,11.7,1710,Call,17,,,SPX US 10/19/13 P1710,,25.5,27.4,1710,Put,17
SPX US 10/19/13 C1715,,8.5,9.6,1715,Call,17,,,SPX US 10/19/13 P1715,,28.2,30.4,1715,Put,17
SPX US 10/19/13 C1720,,6.6,7.7,1720,Call,17,,,SPX US 10/19/13 P1720,,31.4,33.8,1720,Put,17
SPX US 10/19/13 C1725,,5.2,6.1,1725,Call,17,,,SPX US 10/19/13 P1725,,34.6,37.3,1725,Put,17
SPX US 10/19/13 C1730,,4.2,4.8,1730,Call,17,,,SPX US 10/19/13 P1730,,38.5,41.1,1730,Put,17
SPX US 10/19/13 C1735,,2.75,3.7,1735,Call,17,,,SPX US 10/19/13 P1735,,42.2,45,1735,Put,17
SPX US 10/19/13 C1740,,1.95,2.85,1740,Call,17,,,SPX US 10/19/13 P1740,,46.6,49.2,1740,Put,17
SPX US 10/19/13 C1745,,1.35,2.2,1745,Call,17,,,SPX US 10/19/13 P1745,,51,53.6,1745,Put,17
SPX US 10/19/13 C1750,,1.2,1.8,1750,Call,17,,,SPX US 10/19/13 P1750,,55.5,58.2,1750,Put,17
SPX US 10/19/13 C1755,,0.75,1.45,1755,Call,17,,,SPX US 10/19/13 P1755,,60.2,62.8,1755,Put,17
SPX US 10/19/13 C1760,,0.5,1.2,1760,Call,17,,,SPX US 10/19/13 P1760,,64.9,67.6,1760,Put,17
SPX US 10/19/13 C1765,,0.4,1,1765,Call,17,,,SPX US 10/19/13 P1765,,69.8,72.4,1765,Put,17
SPX US 10/19/13 C1770,,0.3,0.6,1770,Call,17,,,SPX US 10/19/13 P1770,,74.6,77.2,1770,Put,17
SPX US 10/19/13 C1775,,0.25,0.45,1775,Call,17,,,SPX US 10/19/13 P1775,,79.5,82.1,1775,Put,17
SPX US 10/19/13 C1780,,0.2,0.3,1780,Call,17,,,SPX US 10/19/13 P1780,,84.5,87,1780,Put,17
SPX US 10/19/13 C1785,,0.15,0.3,1785,Call,17,,,SPX US 10/19/13 P1785,,89.4,91.9,1785,Put,17
SPX US 10/19/13 C1790,,0.15,0.25,1790,Call,17,,,SPX US 10/19/13 P1790,,94.4,96.9,1790,Put,17
SPX US 10/19/13 C1795,,0.1,0.55,1795,Call,17,,,SPX US 10/19/13 P1795,,99.3,101.9,1795,Put,17
SPX US 10/19/13 C1800,,0.1,0.15,1800,Call,17,,,SPX US 10/19/13 P1800,,104.3,106.8,1800,Put,17
SPX US 10/19/13 C1805,,0.05,0.15,1805,Call,17,,,SPX US 10/19/13 P1805,,109.3,111.8,1805,Put,17
SPX US 10/19/13 C1810,,0.05,0.5,1810,Call,17,,,SPX US 10/19/13 P1810,,114.3,116.8,1810,Put,17
SPX US 10/19/13 C1815,,0.05,0.15,1815,Call,17,,,SPX US 10/19/13 P1815,,119.3,121.8,1815,Put,17
SPX US 10/19/13 C1820,,0.05,0.15,1820,Call,17,,,SPX US 10/19/13 P1820,,124.3,126.8,1820,Put,17
SPX US 10/19/13 C1825,,0.05,0.1,1825,Call,17,,,SPX US 10/19/13 P1825,,129.3,131.8,1825,Put,17
SPX US 10/19/13 C1830,,0.05,0.15,1830,Call,17,,,SPX US 10/19/13 P1830,,134.3,136.8,1830,Put,17
SPX US 10/19/13 C1835,,#N/A N/A,0.15,1835,Call,17,,,SPX US 10/19/13 P1835,,139.3,141.8,1835,Put,17
SPX US 10/19/13 C1840,,#N/A N/A,0.1,1840,Call,17,,,SPX US 10/19/13 P1840,,144.3,146.8,1840,Put,17
SPX US 10/19/13 C1845,,#N/A N/A,0.15,1845,Call,17,,,SPX US 10/19/13 P1845,,149.3,151.8,1845,Put,17
SPX US 10/19/13 C1850,,#N/A N/A,0.1,1850,Call,17,,,SPX US 10/19/13 P1850,,154.3,156.8,1850,Put,17
SPX US 10/19/13 C1855,,#N/A N/A,0.45,1855,Call,17,,,SPX US 10/19/13 P1855,,159.3,161.8,1855,Put,17
SPX US 10/19/13 C1860,,#N/A N/A,0.15,1860,Call,17,,,SPX US 10/19/13 P1860,,164.3,166.8,1860,Put,17
SPX US 10/19/13 C1865,,#N/A N/A,0.1,1865,Call,17,,,SPX US 10/19/13 P1865,,169.3,171.8,1865,Put,17
SPX US 10/19/13 C1870,,#N/A N/A,0.05,1870,Call,17,,,SPX US 10/19/13 P1870,,174.3,176.8,1870,Put,17
SPX US 10/19/13 C1875,,#N/A N/A,0.05,1875,Call,17,,,SPX US 10/19/13 P1875,,179.3,181.8,1875,Put,17
SPX US 10/19/13 C1880,,#N/A N/A,0.05,1880,Call,17,,,SPX US 10/19/13 P1880,,184.3,186.8,1880,Put,17
SPX US 10/19/13 C1890,,#N/A N/A,0.05,1890,Call,17,,,SPX US 10/19/13 P1890,,194.3,196.8,1890,Put,17
SPX US 10/19/13 C1900,,#N/A N/A,0.05,1900,Call,17,,,SPX US 10/19/13 P1900,,204.3,206.8,1900,Put,17
SPX US 10/19/13 C1925,,#N/A N/A,0.05,1925,Call,17,,,SPX US 10/19/13 P1925,,229.3,231.8,1925,Put,17
SPX US 10/19/13 C1950,,#N/A N/A,0.05,1950,Call,17,,,SPX US 10/19/13 P1950,,254.3,256.8,1950,Put,17
SPX US 10/19/13 C1975,,#N/A N/A,0.05,1975,Call,17,,,SPX US 10/19/13 P1975,,279.3,281.8,1975,Put,17
SPX US 10/19/13 C2000,,#N/A N/A,0.05,2000,Call,17,,,SPX US 10/19/13 P2000,,304.3,306.8,2000,Put,17
SPX US 10/19/13 C2100,,#N/A N/A,0.05,2100,Call,17,,,SPX US 10/19/13 P2100,,404.3,406.8,2100,Put,17
,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
